,1_minor,7_diminished,5_major,5_minor,3_minor,1_major,4_major,6_minor,3_major,2_minor,7_major,2_diminished,6_major,4_minor
2_minor,0.13660245183887915,0.02714535901926445,0.1786339754816112,0.04553415061295972,0.0796847635726795,0.46409807355516636,0.02714535901926445,0.021891418563922942,0.01926444833625219,0.0,0.0,0.0,0.0,0.0
1_minor,0.0,0.05724932249322493,0.2506775067750677,0.08909214092140921,0.0,0.028455284552845527,0.039634146341463415,0.013550135501355014,0.1155149051490515,0.08028455284552846,0.07486449864498645,0.07486449864498645,0.09688346883468835,0.07892953929539295
5_major,0.36623889437314905,0.0003290556103981573,0.0,0.0,0.013820335636722606,0.4221783481408358,0.008555445870352089,0.16156630470549524,0.007568279039157618,0.0,0.0,0.0,0.019743336623889437,0.0
7_major,0.4427767354596623,0.0,0.0075046904315197,0.09193245778611632,0.0,0.0450281425891182,0.0450281425891182,0.01876172607879925,0.24765478424015008,0.0,0.0,0.0,0.0675422138836773,0.03377110694183865
1_major,0.00812007874015748,0.04576771653543307,0.27878937007874016,0.002952755905511811,0.008366141732283465,0.0,0.30093503937007876,0.22440944881889763,0.004675196850393701,0.1077755905511811,0.0,0.0,0.0,0.018208661417322834
7_diminished,0.27666666666666667,0.0,0.05,0.04,0.011666666666666667,0.6066666666666667,0.0,0.008333333333333333,0.0,0.006666666666666667,0.0,0.0,0.0,0.0
2_diminished,0.353099730458221,0.0,0.3450134770889488,0.0673854447439353,0.0,0.0,0.0,0.0,0.13746630727762804,0.0,0.0,0.0,0.06199460916442048,0.03504043126684636
6_minor,0.024498886414253896,0.01002227171492205,0.13752783964365256,0.013919821826280624,0.07516703786191536,0.47271714922048996,0.10244988864142539,0.0,0.037305122494432075,0.10077951002227171,0.01002227171492205,0.0,0.015590200445434299,0.0
4_major,0.04723502304147465,0.10599078341013825,0.15092165898617513,0.001152073732718894,0.04838709677419355,0.42223502304147464,0.0,0.03225806451612903,0.01152073732718894,0.15668202764976957,0.023617511520737326,0.0,0.0,0.0
6_major,0.26229508196721313,0.0,0.09528688524590163,0.0,0.0,0.0,0.0,0.0,0.3719262295081967,0.0,0.07274590163934426,0.08196721311475409,0.0,0.11577868852459017
3_major,0.2773186409550046,0.0,0.03673094582185491,0.027548209366391185,0.0,0.03305785123966942,0.03305785123966942,0.08999081726354453,0.0,0.0,0.08723599632690542,0.0,0.3002754820936639,0.1147842056932966
5_minor,0.3114754098360656,0.0,0.09107468123861566,0.0,0.0,0.0036429872495446266,0.0036429872495446266,0.04371584699453552,0.029143897996357013,0.0,0.029143897996357013,0.0,0.27140255009107467,0.2167577413479053
3_minor,0.0,0.014388489208633094,0.0407673860911271,0.0,0.0,0.33573141486810554,0.23261390887290168,0.35731414868105515,0.0,0.019184652278177457,0.0,0.0,0.0,0.0
4_minor,0.37755102040816324,0.0,0.10787172011661808,0.08163265306122448,0.04664723032069971,0.0,0.0,0.0,0.05393586005830904,0.02040816326530612,0.10495626822157435,0.10204081632653061,0.10495626822157435,0.0
