note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
5,0.25,1.0,4.0,8,4,1.0,2.0,1.0,9,3,0.5,1.0,3.0,9,2,0.25,1.0,4.0,9,2_minor,1_major,4_major,2_minor
4,1.0,2.0,1.0,9,3,0.5,1.0,3.0,9,2,0.25,1.0,4.0,9,2,1.0,2.0,1.0,10,1_major,4_major,2_minor,1_major
7,0.5,1.0,3.0,6,7,0.5,1.0,3.0,6,1,1.0,1.0,1.0,7,2,0.25,1.0,2.0,7,1_major,5_major,1_major,5_major
7,0.5,1.0,3.0,6,1,1.0,1.0,1.0,7,2,0.25,1.0,2.0,7,3,0.5,1.0,3.0,7,5_major,1_major,5_major,1_major
4,0.5,1.0,3.0,9,2,0.25,1.0,4.0,9,1,1.0,0.75,1.0,10,2,0.0625,0.25,1.75,10,4_major,5_major,1_major,5_major
2,0.25,1.0,4.0,9,1,1.0,0.75,1.0,10,2,0.0625,0.25,1.75,10,2,0.25,1.0,2.0,10,5_major,1_major,5_major,1_major
2,0.25,1.0,2.0,15,5,0.5,1.0,3.0,15,1,0.25,1.0,4.0,15,3,1.0,1.0,1.0,16,6_minor,1_major,4_major,1_major
5,0.5,1.0,3.0,15,1,0.25,1.0,4.0,15,3,1.0,1.0,1.0,16,2,0.25,1.0,2.0,16,1_major,4_major,1_major,6_minor
7,1.0,1.0,1.0,10,7,1.0,1.0,1.0,10,3,0.25,2.0,4.0,10,6,0.25,1.0,2.0,11,3_major,6_major,1_minor,3_major
7,1.0,1.0,1.0,10,3,0.25,2.0,4.0,10,6,0.25,1.0,2.0,11,5,0.5,1.0,3.0,11,6_major,1_minor,3_major,6_major
