,5_major,6_minor,4_major,7_diminished,2_minor,4_minor,5_minor,1_minor,7_major,3_major,3_minor,1_major,6_major,2_diminished
1_major,0.2947274881516588,0.2292654028436019,0.2899881516587678,0.035841232227488154,0.1066350710900474,0.019845971563981043,0.004146919431279621,0.0071090047393364926,0.0008886255924170616,0.005035545023696682,0.006516587677725118,0.0,0.0,0.0
5_major,0.0,0.16848850358085188,0.007161703731624576,0.0018846588767433095,0.0,0.0,0.0,0.34753109687146627,0.0,0.00603090840557859,0.013192612137203167,0.4266867696946853,0.029023746701846966,0.0
1_minor,0.25759416767922233,0.012960712839206157,0.03645200486026731,0.060753341433778855,0.0749291211016606,0.07087889833940866,0.09720534629404617,0.0,0.06561360874848117,0.13163223977318753,0.0,0.024706358849736737,0.09234507897934387,0.0749291211016606
4_minor,0.11049723756906077,0.0,0.0,0.0,0.029465930018416207,0.0,0.08103130755064457,0.4143646408839779,0.11786372007366483,0.049723756906077346,0.02394106813996317,0.0,0.08839779005524862,0.0847145488029466
6_minor,0.13142857142857142,0.0,0.10158730158730159,0.01904761904761905,0.10095238095238095,0.0,0.009523809523809525,0.036825396825396824,0.011428571428571429,0.03365079365079365,0.06603174603174604,0.47873015873015873,0.010793650793650795,0.0
3_major,0.03482045701849837,0.07834602829162132,0.036996735582154515,0.0,0.0,0.13601741022850924,0.028291621327529923,0.25571273122959737,0.08161044613710555,0.0,0.0,0.04026115342763874,0.30794341675734493,0.0
6_major,0.10506329113924051,0.0,0.0,0.0,0.0,0.0670886075949367,0.0,0.2911392405063291,0.08987341772151898,0.3670886075949367,0.0,0.0,0.0,0.07974683544303797
4_major,0.14397719173200285,0.04632929436920884,0.0,0.13257305773342837,0.13399857448325017,0.0,0.002851033499643621,0.0541696364932288,0.03492516037063435,0.010691375623663579,0.06486101211689238,0.37562366357804705,0.0,0.0
2_minor,0.2357373519913886,0.008611410118406888,0.015069967707212056,0.02583423035522067,0.0,0.0,0.04198062432723358,0.14854682454251883,0.0,0.01829924650161464,0.0721205597416577,0.43379978471474706,0.0,0.0
5_minor,0.16990291262135923,0.043689320388349516,0.009708737864077669,0.0,0.0,0.220873786407767,0.0,0.2766990291262136,0.03398058252427184,0.024271844660194174,0.0,0.014563106796116505,0.20631067961165048,0.0
7_diminished,0.043726235741444866,0.013307984790874524,0.0,0.0,0.02091254752851711,0.0,0.017110266159695818,0.27566539923954375,0.0,0.0,0.019011406844106463,0.6102661596958175,0.0,0.0
2_diminished,0.38408304498269896,0.0,0.0,0.01730103806228374,0.0,0.01730103806228374,0.020761245674740483,0.39792387543252594,0.0,0.12110726643598616,0.0,0.0,0.04152249134948097,0.0
3_minor,0.055401662049861494,0.39058171745152354,0.21606648199445982,0.01662049861495845,0.0332409972299169,0.0,0.0,0.0,0.0,0.0,0.0,0.2880886426592798,0.0,0.0
7_major,0.0044742729306487695,0.02237136465324385,0.08277404921700224,0.0,0.0,0.05592841163310962,0.04697986577181208,0.3691275167785235,0.0,0.2662192393736018,0.0,0.06040268456375839,0.08501118568232663,0.006711409395973154
